depth_m,filename,frame_no
76.6,'01747003,39968
76.3,'01747003,40073
82.3,'01747003,35453
76.2,'01747003,40178
75.9,'01747003,40283
75.7,'01747003,40388
75.5,'01747003,40493
75.3,'01747003,40598
75.3,'01747003,40703
75.0,'01747003,40808
74.8,'01747003,40913
74.6,'01747003,41018
74.5,'01747003,41123
82.3,'01747003,35558
74.3,'01747003,41228
74.2,'01747003,41333
73.7,'01747003,41438
73.6,'01747003,41543
73.3,'01747003,41648
72.6,'01747003,41753
72.2,'01747003,41858
72.1,'01747003,41963
71.7,'01747003,42068
71.2,'01747003,42173
82.3,'01747003,35663
70.7,'01747003,42278
70.4,'01747003,42383
69.8,'01747003,42488
69.3,'01747003,42593
69.0,'01747003,42698
68.8,'01747003,42803
68.5,'01747003,42908
68.2,'01747003,43013
67.9,'01747003,43118
67.5,'01747003,43223
82.3,'01747003,35768
67.9,'01747003,43328
67.5,'01747003,43433
67.0,'01747003,43538
66.5,'01747003,43643
66.5,'01747003,43748
66.2,'01747003,43853
65.8,'01747003,43958
65.4,'01747003,44063
64.6,'01747003,44168
64.3,'01747003,44273
82.3,'01747003,35873
63.8,'01747003,44378
63.2,'01747003,44483
63.1,'01747003,44588
63.2,'01747003,44693
62.9,'01747003,44798
63.0,'01747003,44903
